"","X1","Area","attack_of_Area","x","y"
"1",1,"Florida",1050,-81.5157535,27.6648274
"2",2,"New South Wales",483,146.921099,-31.2532183
"3",3,"Queensland",311,142.7027956,-20.9175738
"4",4,"Hawaii",298,-155.5827818,19.8967662
"5",5,"California",296,-119.4179324,36.778261
"6",6,"KwaZulu-Natal",215,30.8958242,-28.5305539
"7",7,"Western Cape Province",198,21.8568586,-33.2277918
"8",8,"Western Australia",181,121.6283098,-27.6728168
"9",9,"Eastern Cape Province",159,26.419389,-32.2968402
"10",10,"South Carolina",159,-81.1637245,33.836081
